id	Amplitude	ContamPct	KSLabel	amplitude	channel	depth	firing_rate	group	n_spikes	shank
54	81.20000000	9.20000000	good	2.93016124	27	280.00000000	4.3 spk/s		25673	0
55	41.90000000	7.50000000	good	2.33381104	28	300.00000000	1.3 spk/s		7620	0
56	81.50000000	100.00000000	mua	3.95840025	29	300.00000000	2.6 spk/s		15767	0
57	55.20000000	9.70000000	good	4.27747154	29	300.00000000	6.8 spk/s		41248	0
58	58.50000000	100.00000000	mua	3.88000464	29	300.00000000	6.0 spk/s	good	36161	0
60	150.00000000	7.50000000	good	3.28199744	30	320.00000000	0.1 spk/s		825	0
61	56.20000000	100.00000000	mua	2.93214846	30	320.00000000	1.5 spk/s		8776	0
62	54.50000000	4.60000000	good	3.31419039	30	320.00000000	4.7 spk/s	good	28070	0
63	50.90000000	100.00000000	mua	3.04678249	32	340.00000000	1.6 spk/s		9748	0
64	38.10000000	4.90000000	good	2.92706370	34	360.00000000	16.4 spk/s	good	98964	0
65	42.20000000	2.20000000	good	3.44077301	33	340.00000000	12.7 spk/s	good	76475	0
66	65.40000000	100.00000000	mua	3.69271660	33	340.00000000	4.1 spk/s		24883	0
68	50.90000000	100.00000000	mua	3.26145077	35	360.00000000	3.8 spk/s		22651	0
69	127.40000000	0.50000000	good	4.63671589	35	360.00000000	10.5 spk/s	good	63252	0
70	52.20000000	7.80000000	good	3.10461736	36	380.00000000	2.3 spk/s		13827	0
71	44.10000000	100.00000000	mua	2.73600006	36	380.00000000	0.8 spk/s		4819	0
74	79.50000000	2.00000000	good	4.04604053	37	380.00000000	4.3 spk/s		26045	0
76	36.20000000	9.30000000	good	3.14818382	38	400.00000000	6.3 spk/s	good	38201	0
77	46.30000000	100.00000000	mua	2.53553605	38	400.00000000	2.7 spk/s		16199	0
78	64.40000000	1.00000000	good	2.94055462	39	400.00000000	11.8 spk/s		71018	0
80	37.60000000	9.60000000	good	2.88824749	39	400.00000000	8.3 spk/s		50198	0
81	89.40000000	0.40000000	good	3.96806526	43	440.00000000	17.7 spk/s	good	106403	0
82	45.10000000	9.60000000	good	3.25605917	43	440.00000000	4.6 spk/s		27663	0
83	44.80000000	100.00000000	mua	2.57466888	43	440.00000000	2.4 spk/s		14442	0
84	33.40000000	100.00000000	mua	2.24393511	43	440.00000000	3.3 spk/s		19932	0
85	42.40000000	9.10000000	good	2.74074268	45	460.00000000	12.9 spk/s		77527	0
86	82.30000000	9.40000000	good	3.15667629	46	480.00000000	1.9 spk/s		11255	0
87	45.60000000	100.00000000	mua	3.25134802	46	480.00000000	7.4 spk/s		44451	0
88	45.40000000	100.00000000	mua	2.62061620	46	480.00000000	2.1 spk/s		12518	0
89	36.00000000	100.00000000	mua	2.46256733	48	500.00000000	3.4 spk/s		20501	0
90	49.00000000	100.00000000	mua	3.42098808	49	500.00000000	2.5 spk/s		15012	0
91	52.40000000	4.90000000	good	3.51201534	53	540.00000000	22.3 spk/s		134341	0
92	40.20000000	100.00000000	mua	2.59221482	50	520.00000000	2.5 spk/s		15085	0
93	52.60000000	1.50000000	good	3.05550122	51	520.00000000	3.8 spk/s		22957	0
94	34.20000000	9.70000000	good	2.09742355	48	500.00000000	1.6 spk/s		9819	0
96	131.40000000	9.40000000	good	4.81353331	53	540.00000000	16.4 spk/s		98624	0
97	30.60000000	2.10000000	good	2.23569393	54	560.00000000	13.4 spk/s		80487	0
98	29.80000000	4.10000000	good	2.58463049	58	600.00000000	18.0 spk/s		108238	0
99	49.40000000	100.00000000	mua	2.81923437	53	540.00000000	3.6 spk/s		21808	0
100	47.50000000	100.00000000	mua	2.78923368	57	580.00000000	2.1 spk/s		12704	0
101	31.60000000	100.00000000	mua	2.27517033	62	640.00000000	0.6 spk/s		3644	0
102	108.50000000	100.00000000	mua	2.97366047	46	480.00000000	0.1 spk/s		347	0
103	44.10000000	100.00000000	mua	3.11153007	58	600.00000000	3.6 spk/s		21478	0
104	33.30000000	100.00000000	mua	2.36732388	62	640.00000000	1.1 spk/s		6643	0
105	38.40000000	100.00000000	mua	2.79637384	60	620.00000000	5.5 spk/s		33352	0
106	52.80000000	9.70000000	good	3.05233312	61	620.00000000	11.4 spk/s		68655	0
107	51.80000000	4.50000000	good	2.83624506	61	620.00000000	18.5 spk/s		111308	0
108	39.40000000	100.00000000	mua	3.06624579	62	640.00000000	2.5 spk/s		15322	0
109	81.50000000	9.90000000	good	2.99488711	62	640.00000000	2.1 spk/s		12563	0
110	66.60000000	8.90000000	good	3.06661272	63	640.00000000	0.9 spk/s		5562	0
111	66.00000000	100.00000000	mua	3.90546250	63	640.00000000	1.3 spk/s		7969	0
112	35.70000000	2.70000000	good	2.44736099	64	660.00000000	3.0 spk/s		17959	0
113	36.90000000	100.00000000	mua	2.55427814	61	620.00000000	3.9 spk/s		23570	0
114	42.90000000	4.90000000	good	2.66815996	65	660.00000000	9.1 spk/s		54731	0
115	33.30000000	100.00000000	mua	1.95468926	69	700.00000000	3.0 spk/s		17959	0
116	38.40000000	100.00000000	mua	2.59242678	68	700.00000000	2.2 spk/s		13253	0
117	138.40000000	100.00000000	mua	3.18521118	66	680.00000000	0.1 spk/s		673	0
118	70.00000000	100.00000000	mua	2.75621033	66	680.00000000	0.6 spk/s		3368	0
119	24.40000000	9.90000000	good	2.36753511	66	680.00000000	16.7 spk/s		100928	0
120	30.80000000	100.00000000	mua	2.25806618	66	680.00000000	1.1 spk/s		6599	0
121	46.10000000	100.00000000	mua	3.08964181	66	680.00000000	2.7 spk/s		16366	0
122	91.00000000	4.80000000	good	3.04747915	67	680.00000000	4.5 spk/s		27051	0
123	34.60000000	100.00000000	mua	2.58002591	67	680.00000000	2.6 spk/s		15525	0
124	41.80000000	3.10000000	good	2.83758068	68	700.00000000	11.3 spk/s		68052	0
125	47.30000000	100.00000000	mua	2.89826751	72	740.00000000	4.5 spk/s		27404	0
126	99.80000000	1.40000000	good	3.09112453	70	720.00000000	2.8 spk/s		17017	0
127	41.20000000	100.00000000	mua	3.26854563	70	720.00000000	2.1 spk/s		12646	0
128	42.10000000	100.00000000	mua	2.80681753	68	700.00000000	1.7 spk/s		10271	0
129	36.80000000	100.00000000	mua	2.76319218	74	760.00000000	3.5 spk/s		21267	0
130	42.90000000	4.90000000	good	3.46094060	73	740.00000000	4.7 spk/s		28156	0
131	45.90000000	100.00000000	mua	3.01427364	72	740.00000000	1.8 spk/s		10702	0
132	33.60000000	4.70000000	good	2.87857652	76	780.00000000	10.4 spk/s		62884	0
133	34.50000000	9.10000000	good	2.95982981	73	740.00000000	5.2 spk/s		31228	0
134	156.90000000	0.90000000	good	3.93471766	73	740.00000000	4.9 spk/s		29637	0
135	40.80000000	0.00000000	good	2.21910524	73	740.00000000	1.0 spk/s		6176	0
136	75.90000000	1.80000000	good	3.07273889	74	760.00000000	4.3 spk/s		26139	0
137	50.10000000	0.60000000	good	3.60492611	74	760.00000000	7.4 spk/s		44334	0
138	48.50000000	4.70000000	good	3.04215312	74	760.00000000	25.1 spk/s		150976	0
141	43.10000000	1.40000000	good	3.03132939	79	800.00000000	2.2 spk/s		13411	0
142	294.10000000	0.00000000	good	6.45564222	77	780.00000000	17.3 spk/s		104315	0
143	154.40000000	4.40000000	good	5.73008156	79	800.00000000	6.2 spk/s		37661	0
144	34.20000000	0.70000000	good	1.83832073	79	800.00000000	6.2 spk/s		37379	0
145	110.30000000	0.90000000	good	4.66280270	77	780.00000000	20.5 spk/s		123649	0
146	128.30000000	2.80000000	good	6.02157259	77	780.00000000	14.4 spk/s		86676	0
147	78.40000000	4.80000000	good	4.07414293	78	800.00000000	4.0 spk/s		23850	0
148	111.60000000	0.10000000	good	5.19422102	81	820.00000000	20.5 spk/s		123398	0
149	42.30000000	6.50000000	good	3.07684565	80	820.00000000	2.1 spk/s		12793	0
150	58.80000000	100.00000000	mua	4.27950287	77	780.00000000	3.0 spk/s		18364	0
151	49.50000000	100.00000000	mua	3.96198702	81	820.00000000	5.4 spk/s		32435	0
152	75.90000000	4.40000000	good	4.73240471	81	820.00000000	17.2 spk/s		103708	0
153	76.10000000	100.00000000	mua	4.31296778	81	820.00000000	3.4 spk/s		20701	0
154	45.00000000	9.60000000	good	4.35069513	81	820.00000000	13.0 spk/s		78392	0
155	79.00000000	0.40000000	good	3.66133165	82	840.00000000	1.2 spk/s		7050	0
156	138.00000000	0.30000000	good	4.74781609	82	840.00000000	10.8 spk/s		64825	0
157	76.00000000	4.90000000	good	4.04640484	82	840.00000000	2.9 spk/s		17641	0
158	141.60000000	0.40000000	good	4.39478922	82	840.00000000	11.1 spk/s		67136	0
159	85.80000000	9.90000000	good	3.40201998	82	840.00000000	1.6 spk/s		9772	0
160	67.90000000	1.90000000	good	3.32927585	83	840.00000000	5.3 spk/s		31768	0
161	44.90000000	3.80000000	good	2.93450260	83	840.00000000	1.1 spk/s		6409	0
162	55.20000000	2.60000000	good	3.42741847	84	860.00000000	3.4 spk/s		20756	0
163	80.90000000	100.00000000	mua	3.76295948	85	860.00000000	5.9 spk/s		35671	0
164	41.50000000	8.60000000	good	3.39276528	81	820.00000000	4.4 spk/s		26645	0
165	43.70000000	2.00000000	good	2.84144974	85	860.00000000	12.0 spk/s		72032	0
166	76.00000000	0.90000000	good	3.10782075	85	860.00000000	6.7 spk/s		40393	0
